row_id,chemical_group,observed_pIC50,chemical_weight,mean,nearest_neighbor,rf_descriptors,rf_retrospective_index
ACT-0041,CHEM-a27e4896ea12296f,6.88941029,1.0,7.259840336268868,7.047207557,6.422680479387506,6.875081627049998
ACT-0042,CHEM-e25cbad1cc1881db,6.15490196,1.0,7.374192064630209,7.716698771,7.816722560950001,6.322121250300001
ACT-0043,CHEM-138873071d197575,6.53165267,1.0,7.259840336268868,6.55129368,6.74636868179333,6.5191985212249985
ACT-0044,CHEM-4b33bf5787d98ea0,7.100179498,1.0,7.24040964179717,6.517126416,7.148633809552078,7.08110842535
ACT-0045,CHEM-d62a2bd77657c731,6.438898616,1.0,7.374192064630209,7.057495894,7.543702533928334,6.499776837362499
ACT-0046,CHEM-fbe8d9652d52d92a,7.548213564,1.0,6.981637551727273,6.302602611,7.400555452374998,7.533635270950003
ACT-0047,CHEM-eb0fd52652b3924f,7.321481621,1.0,6.981637551727273,7.787812396,6.800330703543752,7.322654862062495
ACT-0050,CHEM-6e9b5647f8c2c6a2,6.179798541,1.0,7.374192064630209,7.047207557,7.077286560224998,6.319129904162499
ACT-0051,CHEM-7bf704c8c2dcf678,6.673664139,1.0,7.242218865080953,6.517126416,7.131542287949996,6.693816799724995
ACT-0052,CHEM-8d155f981d2045bb,7.260427656,1.0,6.981637551727273,7.402304814,6.198859560654377,7.245852370237496
ACT-0053,CHEM-264728d7229f594d,5.826813732,1.0,7.374192064630209,7.716698771,7.128368832225,6.210502205624999
ACT-0054,CHEM-27a09ca08693a327,6.777283529,1.0,6.981637551727273,7.787812396,7.058474775294792,6.839902647162496
ACT-0055,CHEM-ae3c55624dbbc52e,6.958607315,1.0,7.259840336268868,7.125518182,7.265193382981549,6.950904903087499
ACT-0056,CHEM-6bb9aa4811bbcb02,6.43062609,1.0,7.374192064630209,7.716698771,7.484094366187497,6.379540565087497
ACT-0057,CHEM-4beade89cf303ec2,6.498940738,1.0,7.24040964179717,7.54515514,7.435993376781257,6.527714449974996
ACT-0058,CHEM-980599e77847b143,7.125518182,1.0,7.242218865080953,6.958607315,7.056531009989165,7.099098506012498
ACT-0059,CHEM-bbc0a80a26c1dad4,6.246416941,1.0,7.374192064630209,7.744727495,7.768627444183329,6.348939612100001
ACT-0060,CHEM-42ccfc2759857d0a,7.449771647,1.0,6.981637551727273,7.787812396,7.058474775294792,7.413470267424996
ACT-0061,CHEM-5add0f87a0f6fd3d,6.189095719,1.0,7.374192064630209,7.716698771,7.128368832225,6.326954937525
ACT-0062,CHEM-7a18369f8edc1ef9,7.782516056,1.0,6.981637551727273,7.823908741,6.9838350773500055,7.807786503987501
ACT-0063,CHEM-e3af42197365733a,7.759450752,1.0,6.981637551727273,7.787812396,7.550159259029999,7.781350886600002
ACT-0064,CHEM-9ee9efc733a2aa94,7.823908741,1.0,7.24040964179717,7.769551079,7.687703472479169,7.822417237337497
ACT-0065,CHEM-74b72610476f43aa,6.869666232,1.0,7.374192064630209,7.716698771,7.128368832225,6.834996927412497
ACT-0066,CHEM-4384d7b3b24a886e,7.787812396,1.0,7.24040964179717,7.321481621,7.399989467707502,7.8038486021750035
ACT-0067,CHEM-e1ed07c097bdd754,7.987162775,1.0,7.374192064630209,6.313363731,7.794711445168754,8.039240514999998
ACT-0068,CHEM-f617d757033dca51,7.787812396,1.0,7.374192064630209,6.446116973,7.070604728980056,7.758993682575006
ACT-0069,CHEM-0992dff5a582b21a,7.20481541,1.0,6.981637551727273,7.829738285,7.443815000411249,7.184889859299998
ACT-0070,CHEM-5233869dab2cecd6,7.54515514,1.0,6.981637551727273,7.402304814,7.432139131255001,7.517943446787504
